away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
27.8,5,0.0,0,142.7,50.0,13,0.418,49,0.367,18,0.367,18,0.722,13,0,200,72.0,13.8,4,0,54,,2.7,2,0.245,12,0.417,5,30.9,17,0.469,27.9,22,37,0.351,13,0.0,0,"November 6, 2018",63.4,26,16.2,6,72.0,86.2,25,0.705,66,0.621,41,0.318,21,0.667,14,0,200,142.7,50.0,13,20,107,,17.3,13,0.348,23,0.478,11,69.1,38,0.704,12.8,11,43,0.698,30,1.0,1,"Moody Coliseum , Abilene, Texas","Arlington Baptist
			","Arlington Baptist
			",74.8,Home,ABILENE-CHRISTIAN,Abilene Christian
50.0,13,4.9,2,122.1,60.7,17,0.492,59,0.441,26,0.407,24,0.625,15,1,200,94.8,25.0,9,23,73,,7.8,6,0.288,17,0.353,6,40.6,26,0.518,18.7,16,42,0.476,20,0.0,0,"November 9, 2018",54.8,17,0.0,0,94.8,75.0,27,0.636,55,0.564,31,0.564,31,0.774,24,0,200,122.1,39.3,11,27,94,,10.4,8,0.255,14,0.571,8,59.4,38,0.674,20.8,18,41,0.561,23,1.0,2,"Moody Coliseum , Abilene, Texas",ARKANSAS-STATE,Arkansas State,77.1,Home,ABILENE-CHRISTIAN,Abilene Christian
72.7,16,13.9,5,100.0,70.0,21,0.551,49,0.449,22,0.327,16,0.813,13,0,200,109.8,18.5,5,15,67,,8.2,5,0.49,24,0.417,10,45.6,26,0.592,13.8,9,25,0.48,12,1.0,3,"November 15, 2018",44.0,11,16.0,4,109.8,81.5,22,0.578,51,0.49,25,0.216,11,0.182,2,2,200,100.0,30.0,9,18,61,,1.6,1,0.294,15,0.6,9,54.4,31,0.542,21.2,15,36,0.444,16,0.333,1,"Magness Arena, Denver, Colorado",DENVER,Denver,61.4,Away,ABILENE-CHRISTIAN,Abilene Christian
83.3,15,5.3,2,128.6,70.4,19,0.538,40,0.45,18,0.475,19,0.684,13,2,200,100.0,20.8,5,15,56,,5.4,3,0.5,20,0.35,7,47.1,24,0.571,18.5,11,20,0.55,11,0.5,2,"November 22, 2018",65.5,19,5.0,1,100.0,79.2,19,0.616,56,0.518,29,0.107,6,0.5,3,0,200,128.6,29.6,8,21,72,,7.1,4,0.321,18,0.611,11,52.9,27,0.612,9.3,6,38,0.474,18,1.0,4,"A.G. Spanos Center, Stockton, California",ELON,Elon,55.9,Home,ABILENE-CHRISTIAN,Abilene Christian
39.3,11,6.1,2,107.6,72.4,21,0.545,56,0.5,28,0.321,18,0.667,12,0,200,110.6,22.2,6,28,73,,6.1,4,0.268,15,0.333,5,48.2,27,0.565,12.3,9,41,0.561,23,1.0,5,"November 23, 2018",25.0,5,7.3,3,110.6,77.8,21,0.467,46,0.435,20,0.804,37,0.757,28,3,200,107.6,27.6,8,19,71,,9.1,6,0.283,13,0.231,3,51.8,29,0.558,12.6,9,33,0.515,17,0.571,4,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,66.1,Away,ABILENE-CHRISTIAN,Abilene Christian
50.0,11,3.1,1,84.2,66.7,18,0.453,53,0.415,22,0.358,19,0.632,12,0,200,105.3,41.2,14,15,60,,10.5,6,0.189,10,0.4,4,52.5,32,0.484,8.9,6,43,0.419,18,1.0,6,"November 24, 2018",33.3,6,4.7,2,105.3,58.8,20,0.424,46,0.391,18,0.326,15,0.6,9,5,200,84.2,33.3,9,20,48,,3.5,2,0.304,14,0.214,3,47.5,29,0.452,22.2,15,32,0.469,15,0.286,2,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,56.6,Away,ABILENE-CHRISTIAN,Abilene Christian
52.6,10,2.4,1,120.0,61.5,16,0.524,42,0.452,19,0.381,16,0.563,9,0,200,70.7,18.2,4,13,53,,10.7,8,0.333,14,0.429,6,41.7,20,0.534,36.3,28,28,0.464,13,0.0,0,"November 27, 2018",56.8,21,10.7,3,70.7,81.8,18,0.656,61,0.607,37,0.295,18,0.556,10,0,200,120.0,38.5,10,15,90,,25.3,19,0.328,20,0.3,6,58.3,28,0.647,18.8,16,41,0.756,31,1.0,7,"Moody Coliseum , Abilene, Texas","Howard Payne
			","Howard Payne
			",74.6,Home,ABILENE-CHRISTIAN,Abilene Christian
52.0,13,3.6,1,108.5,80.8,21,0.435,62,0.403,25,0.21,13,0.615,8,1,200,87.3,22.2,8,24,62,,12.7,9,0.29,18,0.222,4,46.8,29,0.455,14.0,11,44,0.477,21,0.875,7,"December 1, 2018",72.7,16,4.5,2,87.3,77.8,28,0.565,46,0.478,22,0.652,30,0.833,25,2,200,108.5,19.2,5,16,77,,8.5,6,0.391,18,0.444,8,53.2,33,0.639,20.2,15,28,0.5,14,0.714,5,"Firestone Fieldhouse, Malibu, California",ABILENE-CHRISTIAN,Abilene Christian,70.7,Home,PEPPERDINE,Pepperdine
27.3,6,5.9,2,120.3,87.5,21,0.522,45,0.489,22,0.622,28,0.75,21,4,200,98.6,37.5,9,19,68,,5.8,4,0.311,14,0.214,3,62.5,30,0.583,27.7,22,31,0.613,19,0.5,4,"December 4, 2018",40.7,11,0.0,0,98.6,62.5,15,0.635,48,0.563,27,0.542,26,0.846,22,1,200,120.3,12.5,3,23,83,,20.3,14,0.292,14,0.5,7,37.5,18,0.688,14.4,10,34,0.588,20,0.889,8,"Moody Coliseum , Abilene, Texas",CAMPBELL,Campbell,69.3,Home,ABILENE-CHRISTIAN,Abilene Christian
26.3,5,2.9,1,131.0,52.4,11,0.413,52,0.365,19,0.269,14,0.714,10,0,200,74.6,31.3,10,23,53,,8.5,6,0.365,19,0.263,5,39.6,21,0.452,25.6,20,33,0.424,14,0.0,0,"December 8, 2018",68.8,22,12.1,4,74.6,68.8,22,0.682,55,0.582,32,0.436,24,0.75,18,1,200,131.0,47.6,10,20,93,,14.1,10,0.382,21,0.524,11,60.4,32,0.7,20.6,17,34,0.618,21,0.9,9,"Moody Coliseum , Abilene, Texas","Schreiner
			","Schreiner
			",71.0,Home,ABILENE-CHRISTIAN,Abilene Christian
60.0,9,9.4,3,124.2,77.3,17,0.33,53,0.283,15,0.415,22,0.591,13,2,200,72.7,20.5,8,25,48,,6.1,4,0.396,21,0.238,5,41.0,25,0.378,10.0,7,32,0.313,10,0.818,9,"December 15, 2018",46.7,14,6.3,2,72.7,79.5,31,0.62,54,0.556,30,0.389,21,0.714,15,0,200,124.2,22.7,5,21,82,11,7.6,5,0.407,22,0.318,7,59.0,36,0.641,13.7,10,32,0.719,23,1.0,10,"Lubbock Municipal Coliseum, Lubbock, Texas",ABILENE-CHRISTIAN,Abilene Christian,65.7,Home,TEXAS-TECH,Texas Tech
52.2,12,20.0,5,90.7,95.8,23,0.5,50,0.46,23,0.56,28,0.714,20,2,200,93.3,16.7,5,16,70,,12.0,9,0.3,15,0.267,4,51.9,28,0.553,18.3,14,35,0.543,19,0.833,10,"December 21, 2018",58.3,14,8.6,3,93.3,83.3,25,0.602,49,0.49,24,0.265,13,0.692,9,8,200,90.7,4.2,1,27,68,,5.3,4,0.49,24,0.458,11,48.1,26,0.616,29.6,23,25,0.52,13,0.385,5,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,74.7,Away,ABILENE-CHRISTIAN,Abilene Christian
26.7,4,6.1,3,120.5,45.0,18,0.318,55,0.273,15,0.109,6,0.833,5,0,200,54.8,18.4,7,16,40,,13.7,10,0.418,23,0.217,5,32.1,25,0.346,27.6,22,32,0.313,10,0.0,0,"December 29, 2018",62.9,22,9.4,3,54.8,81.6,31,0.527,74,0.473,35,0.216,16,0.625,10,2,200,120.5,55.0,22,9,88,,19.2,14,0.338,25,0.32,8,67.9,53,0.539,14.7,14,49,0.551,27,0.846,11,"Moody Coliseum , Abilene, Texas","McMurry
			","McMurry
			",73.2,Home,ABILENE-CHRISTIAN,Abilene Christian
42.9,9,2.8,1,95.8,66.7,18,0.412,51,0.412,21,0.529,27,0.593,16,7,200,81.7,28.1,9,20,58,,11.3,8,0.157,8,0.0,0,45.8,27,0.454,23.2,19,43,0.488,21,0.417,5,"January 2, 2019",50.0,12,9.3,4,81.7,71.9,23,0.528,53,0.453,24,0.302,16,0.75,12,2,200,95.8,33.3,9,20,68,,15.5,11,0.321,17,0.471,8,54.2,32,0.561,22.1,17,36,0.444,16,0.857,12,"Moody Coliseum , Abilene, Texas",NEW-ORLEANS,New Orleans,71.2,Home,ABILENE-CHRISTIAN,Abilene Christian
63.6,14,6.1,2,106.0,75.0,18,0.54,50,0.44,22,0.32,16,0.875,14,3,200,101.5,34.6,9,17,68,,16.4,11,0.28,14,0.714,10,54.0,27,0.59,24.0,18,36,0.333,12,0.8,12,"January 5, 2019",51.9,14,13.9,5,101.5,65.4,17,0.633,49,0.551,27,0.265,13,0.692,9,8,200,106.0,25.0,6,14,71,,14.9,10,0.327,16,0.5,8,46.0,23,0.643,24.8,18,33,0.576,19,0.429,6,"Johnson Coliseum, Huntsville, Texas",ABILENE-CHRISTIAN,Abilene Christian,66.9,Home,SAM-HOUSTON-STATE,Sam Houston State
